sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	13.88	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.76	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__IMCC26256
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	4.22	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.2	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	5.33	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.29	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__JAFAQI01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.91	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__S36-B12
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.59	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	4.15	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.47	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.53	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.07	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.11	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.29	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.19	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.68	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.4	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__QHBQ01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.95	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__UBA6077
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.28	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__FW602-bin22
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.57	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.45	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.17	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__DSTF01
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__UBA9968
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.11	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__UBA1149
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.34	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	3.24	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Polyangiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.08	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Haliangiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.07	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Palsa-1104
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.25	Root; d__Bacteria; p__Myxococcota_A; c__UBA796; o__UBA796
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.63	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
