sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.51	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.17	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__QHBQ01
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.85	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.92	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.34	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.08	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.08	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.12	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.28	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.4	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Chthoniobacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	6.63	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Limisphaerales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.86	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Verrucomicrobiales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.77	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__Saccharimonadales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.96	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__Phycocordibacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.46	Root; d__Bacteria; p__Armatimonadota; c__SYMT01; o__SYMT01
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.57	Root; d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.42	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.51	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.17	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.51	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.85	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.44	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018; o__UBA1018
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.4	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.86	Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.91	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9; o__XYA12-FULL-58-9
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.68	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia; o__Oligoflexales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.51	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46; o__RBG-16-71-46
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.34	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.28	Root; d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales
