sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.79	Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.56	Root; d__Bacteria; p__Myxococcota; c__Kuafuiibacteriia; o__Kuafuiibacteriales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.57	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9; o__XYA12-FULL-58-9
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.23	Root; d__Bacteria; p__Myxococcota; c__UBA727; o__UBA727
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.97	Root; d__Bacteria; p__Babelota; c__Babeliae; o__Babelales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.51	Root; d__Bacteria; p__Omnitrophota; c__Gorgyraeia; o__Zapsychrales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.69	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018; o__UBA1018
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.74	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.11	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46; o__RBG-16-71-46
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__F11
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.09	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__2-01-FULL-59-12
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Mycoplasmatales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.62	Root; d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	3.84	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	36.99	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.6	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales; f__JAICJC01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.03	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales; f__JALYLC01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.33	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales; f__F1-60-MAGs149
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	37.99	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	20.8	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	12.29	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__Thermoleophilaceae
