sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.17	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Kolteriales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.08	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.4	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__UBA1845
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.45	Root; d__Bacteria; p__Planctomycetota; c__J058; o__J058
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.62	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__P2-11E
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.75	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.27	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__QHBQ01
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.57	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.74	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.47	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.12	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria; o__Dormibacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.5	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__DSTF01
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__CAUJGQ01
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.75	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__UBA6077
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.85	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__FW602-bin22
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.51	Root; d__Bacteria; p__Chloroflexota; c__UBA5177; o__SPIREOTU_01175024
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.51	Root; d__Bacteria; p__Chloroflexota; c__Ktedonobacteria; o__Ktedonobacterales
