sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.12	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidiferrales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.95	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.18	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.34	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	6.05	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.52	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Azospirillales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.27	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__ATCC43930
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Geminicoccales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.36	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Kiloniellales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	8.92	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.33	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.5	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.23	Root; d__Bacteria; p__Actinomycetota; c__UBA4738; o__UBA4738
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.05	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptosporangiales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	4.37	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.83	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	3.38	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
