localizeddatetime\r\n',temp,windSpeed,windDirection,humidity,dayRain_c,dayET_c
2025-07-11 16:30:00\r\n',76.1,5,333.5590551,52.5,0,0.693297979
2025-07-11 16:45:00\r\n',75.8,3,320.8385827,53,0,0.710746042
2025-07-11 17:00:00\r\n',73.9,0,336.3858268,55,0,0.727378828
2025-07-11 17:15:00\r\n',72.8,0,52.29527559,57,0,0.742371628
2025-07-11 17:30:00\r\n',71.6,2,254.4094488,59.5,0,0.755960671
2025-07-11 17:45:00\r\n',71,0,306.7047244,60,0,0.767998938
2025-07-11 18:00:00\r\n',71.3,0,254.4094488,59.5,0,0.778477443
2025-07-11 18:15:00\r\n',70.4,2,9.893700787,60.5,0,0.787637899
2025-07-11 18:30:00\r\n',69.2,3,65.01574803,62.5,0,0.795172823
2025-07-11 18:45:00\r\n',67.6,1,55.12204724,65,0,0.801198437
2025-07-11 19:00:00\r\n',66.8,2,12.72047244,66.5,0,0.805600476
2025-07-11 19:15:00\r\n',65.5,1,72.08267717,68,0,0.807629202
2025-07-11 19:30:00\r\n',63.6,0,73.49606299,71,0,0.807964361
2025-07-11 19:45:00\r\n',62,0,91.87007874,73.5,0,0.808128259
2025-07-11 20:00:00\r\n',60.1,0,96.11023622,77,0,0.808160446
2025-07-11 20:15:00\r\n',58.7,0,120.1377953,79,0,0.808160446
2025-07-11 20:30:00\r\n',57.3,0,120.1377953,82,0,0.808160446
2025-07-11 20:45:00\r\n',55.7,0,156.8858268,83,0,0.808160446
2025-07-11 21:00:00\r\n',54.6,0,183.7401575,86,0,0.808160446
2025-07-11 21:15:00\r\n',53.7,0,255.8228346,85.5,0,0.808160446
2025-07-11 21:30:00\r\n',53,0,255.8228346,89,0,0.808160446
2025-07-11 21:45:00\r\n',52.9,0,223.3149606,88.5,0,0.808160446
2025-07-11 22:00:00\r\n',52.2,0,221.9015748,88.5,0,0.808160446
2025-07-11 22:15:00\r\n',50.6,0,221.9015748,87.5,0,0.808160446
